Unnamed: 0,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,Operating Income,Interest Expense,Net Income,EPS,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,Net Profit Margin,Cash and cash equivalents,Short-term investments,Total debt,Retained earnings (deficit),Net Debt,Operating Cash Flow,Capital Expenditure,Dividend payments,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,grossProfitMargin,operatingProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,assetTurnover,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Dividend Yield,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Working Capital,Tangible Asset Value,Invested Capital,ROE,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Dividends per Share Growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Asset Growth,Debt Growth,Sector,2015 PRICE VAR [%],Class,2016 PRICE VAR [%],2017 PRICE VAR [%],2018 PRICE VAR [%],2019 PRICE VAR [%]
PG,74401000000,-0.0713,39030000000,35371000000,13910000000,709000000,11643000000,4.19,2.448,0.4754,0.247,0.2043,0.156,0.1359,18344000000,0.1565,8558000000,2128000000,35417000000,84990000000,24731000000,13958000000,-3848000000,-6911000000,10110000000,-0.1163,3.0391,0,18.7566,21.0348,15.2358,12.97750089,15.55784226,0.038152819,11.4211163,2.588601198,0.204338651,0.475410277,1,0.156489832,0.5765,0.1664,0.0753,0.803297916,0.51572096,0.937,0.506196999,0.253750815,0.2455,0.5061,0.220644414,0.336046986,21.4429,0.394104526,2.061649708,5.1582,3.964,3.1626,0.584,0.187605005,0.724315805,27.4952,4.3027,5.1582,3.964,25.86,13.0885,2.12661E+11,2.37392E+11,18.7566,2.8583,15.2358,21.0348,3.0391,3.1907,12.9411,17.0076,23.481,0.0533,0.0475,0.5061,0.2455,1.3482,0.937,21.4429,0.0311,0.2757,0.0517,-1.2251,0.0048,49.3756,0.0753,0.5765,-2109000000,59719000000,52852000000,0.1664,-0.1185,-0.0001,0.0067,0.0293,0.0371,0.0389,0.0699,-0.0695,0.0323,0.0088,-0.0182,0.0355,0.0015,0.026,0.0603,-0.0137,0.006,0.1442,0.0353,0.0201,0.1013,0.0834,0.0751,0.0359,0.1228,Consumer Defensive,-9.323275997,0,10.80945123,12.53246293,4.975150851,40.68027275
VIPS,3734148046,1.1737,2805625444,928522602.5,134595899.3,12148692.28,135822731.7,0.2396,0,0.2487,0.0107,0.0502,0.0058,0.0704,245685825,0.0364,773514853.1,608385211.5,622374071.7,4285437.52,,526745560.2,-263704552.8,0,263041007.4,0.0956,,,81.5526,1.3589,,0.678614802,2.631793143,0,7.136538133,0.866868925,0.050220558,0.248657148,1,0.036373151,0.0403,0.3294,0,0.774438056,1.364477438,0.2102,0.849993073,0.471788647,0.2274,1.5093,0.601485323,0.601485323,15.4363,0.846348818,6.636733769,35.6714,22.976,52.3827,0,0.141061777,0.499370146,252.8778,9.198,35.6714,22.976,27.9248,42.1474,6253200000,,81.5526,0.0443,,1.3589,,,,,,0.0123,,1.5093,0.2274,,0.2102,15.4363,0,0.5006,0.0706,-4.5345,0.0097,,0,0.0403,3065163000,2546028576,755350984.8,0.3294,1.2489,1.6142,1.9463,1.5649,1.4625,1.4646,0,-0.3626,,,,,,,,,,,,,,,,,,Consumer Defensive,-25.51219289,0,-21.63701011,4.363319188,-56.31999969,160.0000105
KR,98375000000,0.0182,78138000000,20237000000,2725000000,443000000,1519000000,1.47,0.307,0.2057,0.045,0.0276,0.015,0.0126,4416000000,0.0154,401000000,0,11310000000,10981000000,10909000000,3573000000,-2330000000,-319000000,1243000000,-0.5969,3.3579,7.0982,12.034,14.6302,5.1147,0,0,,2.276721014,0,0.027578145,0.205712834,1,0.015440915,0.1011,0.2821,0.0859,0.669162996,3.359687169,0.825,0.141709482,0.037459131,0.3863,2.1007,0.641949857,0.677488918,6.1242,0.315915119,5.438521545,3.4757,0.837,0.3901,0.209,0.036320203,0.34788693,95.6955,1.4776,3.4757,0.837,5.2374,11.0019,18274698937,29183698937,12.034,0.1858,5.1147,14.6302,3.3579,0.2967,6.6086,8.1678,23.4784,0.0831,0.068,2.1007,0.3863,2.4703,0.825,6.1242,0.0174,0.6521,0.0237,-1.3682,0.0011,13.2,0.0859,0.1011,-1875000000,26444000000,26648000000,0.2821,0.0173,-0.0145,-0.0141,0.0147,0.0576,0.0469,0.2429,0.3935,0.1027,0.1038,0.1399,0.0889,0.0937,0.0946,0.2272,0.0906,0.1892,0.0676,0.0558,0.0789,0,0.1215,0.1633,0.1886,0.2738,Consumer Defensive,33.11829672,1,-15.03650314,-17.0682515,-0.990448919,8.690633021
RAD,25526413000,0.0053,18202679000,7323734000,737252000,424591000,249414000,4.6,0,0.2869,0.042,0.0264,0.008,0.0144,1078550000,0.0098,146406000,0,5757143000,-7515848000,5610737000,702046000,-333870000,0,368176000,-0.8822,0,0,28.6087,17.2736,9.0589,0,0,,5.428005192,,0.026435716,0.286908074,1,0.009770821,0.0668,-0.118,0.1062,0.996786802,3.675577703,1.709,0.436884933,0.058388356,0.829,-2.7237,1.588075955,1.58013894,1.5893,0.121943471,,14.5272,0.557,3.0295,0,0.027502728,0.524432872,528.2098,5.161,14.5272,0.557,-43.7381,119.1307,6359738316,11970475316,28.6087,0.2491,9.0589,17.2736,0,0.4689,11.0987,17.0508,32.5129,0.035,0.0579,-2.7237,0.829,5.2021,1.709,1.5893,0,0.4756,0.0131,-0.8269,-0.0004,0,0.1062,0.0668,1777673000,6513644000,9616929000,-0.118,0.0007,0.2904,0.1113,1.0043,0.9167,0.9167,0,-0.2691,-0.0195,-0.029,-0.023,0.0513,0.1164,0.1777,0.048,0,0,0,0,0,0,0,0,-0.0189,-0.0458,Consumer Defensive,2.752291468,1,4.3037994,-75.91687038,-66.66666592,0.454549677
GIS,17909600000,0.0076,11539800000,6369800000,2957400000,302400000,1824400000,2.9,1.55,0.3557,0.201,0.1681,0.102,0.1052,3595500000,0.1019,867300000,0,8785800000,11787200000,7918500000,2541000000,-656900000,-983300000,1884100000,-0.2376,5.1004,0,18.7034,17.6902,13.1169,10.9523502,15.25428736,0.035332474,9.767966031,4.258725878,0.168071872,0.355664001,1,0.101867155,0.6265,0.2792,0.1041,0.673782177,0.773776555,0.81,0.433465474,0.159915184,0.3796,1.3445,0.495705455,0.57346318,9.954,0.289216691,3.54191406,4.1351,3.624,1.4114,0.534,0.141879216,0.741479732,29.1454,2.969,4.1351,3.624,10.6345,14.2977,33330057253,41248557253,18.7034,1.861,13.1169,17.6902,5.1004,2.3032,11.4723,16.2332,21.893,0.0535,0.0565,1.3445,0.3796,2.2023,0.81,9.954,0.0286,0.2585,0.0367,-1.1221,0.0022,26.3414,0.1041,0.6265,-1030000000,9480900000,11975900000,0.2792,-0.0084,0.0332,0.037,-0.0166,0.014,0.0143,0.1742,-0.1936,0.0704,0.0567,0.0773,0.0782,0.0828,0.1991,0.0776,0.0841,0.0177,0.0427,0.0623,0.0217,0.1092,0.125,0.1144,0.0215,0.1025,Consumer Defensive,12.89771517,1,10.69317245,-1.162941853,-31.28041183,45.02756921
PM,80106000000,0.001,60775000000,19331000000,11702000000,1052000000,7493000000,4.76,3.88,0.2413,0.156,0.1453,0.094,0.0822,12531000000,0.0935,1682000000,0,29455000000,29249000000,27773000000,7739000000,-1153000000,-6035000000,6586000000,-0.2195,0,0,17.1113,19.215,16.3523,13.45076834,13.8923657,0.057975611,10.59025586,,0.145332435,0.241317754,1,0.093538561,1.163,-0.5933,0.3752,0.707554297,2.276579419,1.025,0.376257279,0.111302276,0.8371,-2.3323,1.883146853,1.750564602,11.0665,0.262739773,,4.981,4.239,1.0826,0.815,0.096609492,0.851014343,51.5577,4.8226,4.981,4.239,-8.1283,18.9578,1.2655E+11,1.54323E+11,17.1113,1.5798,16.3523,19.215,0,1.9265,12.3153,19.941,23.432,0.0584,0.052,-2.3323,0.8371,2.2163,1.025,11.0665,0.0476,0.149,0.0144,-1.297,0,0,0.3752,1.163,372000000,23814000000,36475000000,-0.5933,-0.0709,-0.1193,-0.1341,-0.1263,-0.0951,-0.0951,0.0838,-0.2629,,0.0961,0.0546,,0.0377,-0.0634,,0.0769,-0.0084,,0,0,0,0.1161,0.1122,-0.0781,0.0642,Consumer Defensive,13.98093678,1,10.86559027,20.19003858,-32.49096569,33.91803189
KO,45998000000,-0.0183,17889000000,28109000000,9708000000,483000000,7098000000,1.62,1.22,0.6111,0.256,0.2127,0.154,0.1833,11758000000,0.1543,18010000000,3665000000,41745000000,63408000000,20070000000,10615000000,-2183000000,-5350000000,8432000000,-0.1085,6.0879,46.7543,26.0617,21.9662,17.4214,15.16116617,22.67339799,0.033243074,16.8403452,5.307908275,0.21266142,0.611091787,1,0.154311057,0.4656,0.2341,0.1004,0.763307883,0.499853298,1.019,0.807468957,0.55631062,0.4536,1.3768,0.38602353,0.579268716,20.2526,0.25428195,3.035059367,2.4196,1.922,4.1053,0.753,0.230770903,0.794347621,10.4851,1.618,2.4196,1.922,6.9113,9.5156,1.84928E+11,2.04998E+11,26.0617,4.0204,17.4214,21.9662,6.0879,4.4567,17.4348,19.3121,24.312,0.0384,0.0456,1.3768,0.4536,1.7069,1.019,20.2526,0.0289,0.2057,0.0475,-1.1048,0.0045,15.8991,0.1004,0.4656,612000000,65651000000,57012000000,0.2341,-0.0114,-0.1778,-0.0508,-0.1731,-0.1649,-0.1579,0.0893,0.0406,0.0887,0.0938,0.0096,0.07,0.0647,0.0527,0.0494,0.0187,-0.0487,0.0772,0.0522,-0.0007,0.0933,0.0827,0.0908,0.0219,0.1258,Consumer Defensive,5.339412838,1,0.958958636,13.45170799,7.570640533,21.67873852
WMT,4.76294E+11,0.0163,3.58069E+11,1.18225E+11,26872000000,2335000000,16022000000,4.9,1.88,0.2482,0.074,0.0556,0.034,0.0228,35332000000,0.0336,7281000000,0,56641000000,76566000000,49360000000,23257000000,-12388000000,-6139000000,10869000000,-0.2043,3.1721,4.2627,15.2408,22.461,10.3903,0,0,,1.467225178,0,0.055558122,0.248218537,1,0.033638887,0.146,0.2101,0.1243,0.6640693,2.326210861,0.882,0.201283438,0.104996755,0.2766,0.7428,0.36882315,0.426205454,11.3328,0.410603626,2.685082945,7.1144,3.92,2.2273,0.384,0.048829085,0.467343165,145.7002,4.9012,7.1144,3.92,23.3267,17.3267,2.41647E+11,2.91007E+11,15.2408,0.5073,10.3903,22.461,3.1721,0.611,8.2364,12.5127,26.7741,0.0656,0.045,0.7428,0.2766,1.397,0.882,11.3328,0.0252,0.5327,0.026,-1.3966,0,50.9472,0.1243,0.146,-8160000000,1.85241E+11,1.65256E+11,0.2101,0.0161,-0.0273,-0.0308,-0.0575,-0.0278,-0.0279,0.1824,-0.1781,0.0941,0.0726,0.0809,0.0685,0.039,0.0323,0.0897,0.0761,0.0302,0.0884,0.0707,0.0756,0.1797,0.1463,0.1582,0.0081,0.0463,Consumer Defensive,-26.65370179,0,15.72912116,47.54264342,-3.275250228,29.89801695
MDLZ,34244000000,-0.0299,21647000000,12597000000,3242000000,688000000,2184000000,1.29,0.58,0.3679,0.125,0.0942,0.064,0.0563,4284000000,0.0638,1631000000,0,16656000000,14529000000,15025000000,3562000000,-1635000000,-964000000,1927000000,-0.2462,2.1993,0,28.1628,31.6718,17.1341,15.80599245,25.77882103,0.01712227,16.74905348,2.028862887,0.094177082,0.367860063,1,0.063777596,0.2885,0.0787,0.0376,0.860859283,0.512857378,0.839,0.455629328,0.116441779,0.2494,0.6002,0.332467345,0.375084448,4.6875,0.213856868,2.406162162,2.1203,1.147,0.9709,0.45,0.104018222,0.540988209,20.3843,1.3001,2.1203,1.147,16.5186,9.9147,61031608766,76056608766,28.1628,1.7823,17.1341,31.6718,2.1993,2.221,17.7536,21.3522,39.4689,0.0355,0.0316,0.6002,0.2494,3.5072,0.839,4.6875,0.016,0.459,0.0477,-1.5439,0.0041,21.8967,0.0376,0.2885,-2257000000,23047000000,24065000000,0.0787,-0.0391,-0.4193,-0.1774,-0.4421,-0.4163,-0.4155,0.0741,-0.6092,0.0081,-0.0494,0.0019,-0.01,-0.0925,-0.0607,-0.018,-0.0868,-0.1354,-0.0057,-0.0118,-0.0607,-0.0279,-0.1294,-0.2063,-0.0792,-0.0248,Consumer Defensive,23.80981774,1,2.976629091,-2.718434801,-3.387900048,40.91671798
MO,24522000000,0.0023,14362000000,10160000000,7620000000,808000000,5070000000,2.56,2,0.4143,0.358,0.35,0.207,0.1835,8790000000,0.2068,3321000000,0,14693000000,26277000000,11372000000,4663000000,-163000000,-3892000000,4500000000,-0.1168,32.3094,0,19.2461,21.6402,20.8837,17.4577451,16.05630481,0.047810058,11.19675374,27.0091126,0.349971454,0.414321833,1,0.20675312,4.2677,1.6821,0.1948,0.652173913,0.711298042,0.896,0.448976932,0.432816369,0.4262,4.8749,0.819596576,0.829784831,10.6213,0.317362009,11.43828799,2.3593,2.277,1.6803,0.781,0.190155778,0.965043963,12.407,2.5652,2.3593,2.277,1.5249,7.434,97380679955,1.08753E+11,19.2461,3.9712,20.8837,21.6402,32.3094,4.4349,12.3723,23.3225,24.1673,0.052,0.0462,4.8749,0.4262,1.2937,0.896,10.6213,0.0406,0.035,0.0066,-0.7837,0,9.3723,0.1948,4.2677,-795000000,17141000000,20840000000,1.6821,-0.0284,0.074,-0.0574,0.118,0.1327,0.1327,0.087,0.0603,-0.1182,0.0177,0.0235,-0.0778,0.0726,0.1065,-0.0565,0.1064,0.1588,-0.2042,-0.0493,-0.0519,-0.0338,0.0867,0.0817,-0.011,0.0121,Consumer Defensive,23.8654893,1,22.15778008,9.429037023,-26.45218325,8.045047649
